"Station Name","TORONTO CITY CENTRE"
"Province","ONTARIO"
"Latitude","43.63"
"Longitude","-79.40"
"Elevation","76.80"
"Climate Identifier","6158359"
"WMO Identifier","71265"
"TC Identifier","YTZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-12-01 00:00","2016","12","01","00:00","9.3","","7.4","","88","","27","","18","","16.1","","98.85","","","","","","Rain"
"2016-12-01 01:00","2016","12","01","01:00","8.0","","6.2","","88","","26","","18","","16.1","","98.88","","","","","","NA"
"2016-12-01 02:00","2016","12","01","02:00","7.4","","3.1","","74","","26","","39","","16.1","","98.95","","","","","","NA"
"2016-12-01 03:00","2016","12","01","03:00","6.2","","2.1","","75","","26","","30","","16.1","","99.08","","","","","","NA"
"2016-12-01 04:00","2016","12","01","04:00","5.6","","1.9","","77","","25","","32","","16.1","","99.13","","","","","","NA"
"2016-12-01 05:00","2016","12","01","05:00","6.2","","1.7","","73","","26","","39","","16.1","","99.18","","","","","","NA"
"2016-12-01 06:00","2016","12","01","06:00","5.8","","2.7","","80","","24","","30","","16.1","","99.26","","","","","","NA"
"2016-12-01 07:00","2016","12","01","07:00","5.5","","1.8","","77","","24","","24","","16.1","","99.32","","","","","","NA"
"2016-12-01 08:00","2016","12","01","08:00","5.3","","1.6","","77","","23","","34","","16.1","","99.34","","","","","","NA"
"2016-12-01 09:00","2016","12","01","09:00","5.2","","1.3","","76","","24","","39","","16.1","","99.38","","","","","","NA"
"2016-12-01 10:00","2016","12","01","10:00","5.1","","1.0","","75","","24","","41","","16.1","","99.41","","","","","","NA"
"2016-12-01 11:00","2016","12","01","11:00","5.7","","0.9","","71","","25","","37","","16.1","","99.41","","","","","","NA"
"2016-12-01 12:00","2016","12","01","12:00","6.2","","0.8","","68","","25","","37","","16.1","","99.40","","","","","","NA"
"2016-12-01 13:00","2016","12","01","13:00","5.8","","1.2","","72","","24","","37","","16.1","","99.42","","","","","","NA"
"2016-12-01 14:00","2016","12","01","14:00","6.0","","1.0","","70","","25","","37","","16.1","","99.45","","","","","","NA"
"2016-12-01 15:00","2016","12","01","15:00","6.0","","0.6","","68","","25","","32","","16.1","","99.52","","","","","","NA"
"2016-12-01 16:00","2016","12","01","16:00","5.8","","0.8","","70","","25","","32","","16.1","","99.59","","","","","","NA"
"2016-12-01 17:00","2016","12","01","17:00","5.7","","1.1","","72","","25","","34","","16.1","","99.62","","","","","","NA"
"2016-12-01 18:00","2016","12","01","18:00","5.6","","1.5","","75","","24","","28","","16.1","","99.67","","","","","","NA"
"2016-12-01 19:00","2016","12","01","19:00","5.7","","1.6","","75","","24","","28","","16.1","","99.71","","","","","","NA"
"2016-12-01 20:00","2016","12","01","20:00","5.5","","1.8","","77","","23","","30","","16.1","","99.72","","","","","","NA"
"2016-12-01 21:00","2016","12","01","21:00","5.5","","2.0","","78","","24","","26","","16.1","","99.74","","","","","","NA"
"2016-12-01 22:00","2016","12","01","22:00","5.6","","2.1","","78","","24","","30","","16.1","","99.74","","","","","","NA"
